,Compound,Date,Negative,Neutral,Positive,Source,Text,Tweets Ago
56,0.4471,Sat Nov 25 12:00:06 +0000 2017,0.821,0.0,0.179,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",Don't miss Angel Lais Ribeiro hit the runway in the 2017 Champagne Nights Fantasy Bra! Watch the #VSFashionShow Tue… https://t.co/qK9ZGXQsWA,57
57,0.6369,Sat Nov 25 08:07:03 +0000 2017,0.792,0.0,0.208,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Relive all the incredible music memories from 'GRAMMYs® Greatest Stories: A 60th Anniversary Special'. Watch it now… https://t.co/t0LarCTxO1,58
58,0.7184,Sat Nov 25 01:00:03 +0000 2017,0.731,0.0,0.269,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","Keep the holiday spirit alive and watch Frosty Returns tonight at 8:30/7:30c on CBS, or stream it on CBS All Access… https://t.co/GMq5MoTt0h",59
59,0.0,Sat Nov 25 00:43:31 +0000 2017,1.0,0.0,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","Watch these musical Christmas classics come to life when Frosty the Snowman and Frosty Returns air tonight, startin… https://t.co/OwKCQbBDxu",60
60,0.7804,Mon Nov 27 19:58:03 +0000 2017,0.725,0.0,0.275,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",Make all your streams come true with a 1-month FREE trial of #CBSAll Access. Use promo code LETSGO by 12/4:… https://t.co/GDSVj6WO3j,61
61,0.4019,Mon Nov 27 18:32:06 +0000 2017,0.803,0.0,0.197,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Singer-songwriter @JoshGroban will headline the #Home4Holidays adoption special along with @kelly_clarkson,… https://t.co/EgzxIsLhjv",62
62,0.1867,Mon Nov 27 12:01:03 +0000 2017,0.916,0.0,0.084,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","Tomorrow, don't miss @Harry_Styles perform alongside the Angels at the #VSFashionShow! Tune in at 10/9c on CBS &amp; CB… https://t.co/a0fxt0rqUf",63
63,-0.2263,Mon Nov 27 00:53:16 +0000 2017,0.909,0.091,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Due to #NFL football overrun #CBS is delayed in east &amp; central time zones. New start times #60minutes 7:46ET/6:46CT… https://t.co/tA6gF7rkGX,64
64,0.4559,Mon Nov 27 00:16:34 +0000 2017,0.858,0.0,0.142,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @RecordingAcad: Two days left 'til #GRAMMYs nominations! ? Are you excited? 

RT if you're counting down with us! ? https://t.co/11tdE0k…",65
65,0.8553,Mon Nov 27 00:15:41 +0000 2017,0.63,0.0,0.37,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Spread some holiday cheer with the heartwarming Christmas classic, The Story of Santa Claus! Watch the full special… https://t.co/3TQ6qjpzK6",66
