,Compound,Date,Negative,Neutral,Positive,Source,Text,Tweets Ago
73,-0.5423,Mon Nov 27 18:10:07 +0000 2017,0.774,0.226,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Nancy Pelosi's catastrophically bad answer on John Conyers | Analysis by @CillizzaCNN https://t.co/WSGP36x8md https://t.co/wjdMnkAr88,74
74,-0.0572,Mon Nov 27 18:00:14 +0000 2017,0.9,0.1,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",A Maine police department doesn't want you telling officers these things https://t.co/iO8FT9HaTi https://t.co/D1HttKX4O7,75
75,0.0,Mon Nov 27 17:50:07 +0000 2017,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",What Meghan Markle tells us about the modern British monarchy https://t.co/vqwCx6ic24 https://t.co/ms0Du3fqKJ,76
76,-0.9169,Mon Nov 27 17:40:07 +0000 2017,0.615,0.385,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Her father died of cancer in 2013. But before his death, he prepaid a flower shop to deliver flowers and a card to… https://t.co/4IU6Nm5fg0",77
77,0.0,Mon Nov 27 17:29:08 +0000 2017,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",How much does a royal wedding cost? (Spoiler: It's a lot.) https://t.co/TU8lAeN7kA https://t.co/nZBzTWQkKG,78
78,0.4939,Mon Nov 27 17:17:30 +0000 2017,0.688,0.087,0.225,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Dodging taxes isn't the only reason the rich stash cash offshore https://t.co/FvzSxKAEsj https://t.co/izGr1oVW41,79
79,-0.5707,Mon Nov 27 17:05:05 +0000 2017,0.779,0.221,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",President Trump's latest conspiracy? 'The 'Access Hollywood' tape was a fake!' | Analysis by @CillizzaCNN… https://t.co/8mh637AYfn,80
80,0.0,Mon Nov 27 19:40:02 +0000 2017,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Bill Gates has a new mission: To find a cure for Alzheimer's https://t.co/Ip7ountOz5 https://t.co/c8GnxNsTZ2,81
81,-0.1027,Mon Nov 27 19:30:16 +0000 2017,0.928,0.072,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",President Trump has questioned the authenticity of the infamous “Access Hollywood” tape in which he bragged about b… https://t.co/eQIwjjduqI,82
82,0.6369,Mon Nov 27 19:20:13 +0000 2017,0.756,0.0,0.244,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Why Harry and Meghan will be the best royal couple | via @CNNopinion https://t.co/AmFhhY0tSv https://t.co/MJ7eBi4JCD,83
