,Compound,Date,Negative,Neutral,Positive,Source,Text,Tweets Ago
57,0.1531,Mon Nov 27 18:13:23 +0000 2017,0.789,0.092,0.118,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",A diner cook has touched thousands of hearts after video was posted online showing her help cut up a man’s pancakes… https://t.co/9h77JPHJ6T,58
58,0.0459,Mon Nov 27 18:01:53 +0000 2017,0.735,0.153,0.113,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Melania Trump slams 'salacious' Vanity Fair for saying she didn't want to be first lady - via @brookefoxnews
https://t.co/YhXAPN8WGs",59
59,0.5859,Mon Nov 27 17:57:43 +0000 2017,0.476,0.149,0.375,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",'2017 Fallen Heroes Tree' dedicated on Thanksgiving by Virginia firefighter https://t.co/OfyQxFx6YP,60
60,0.0,Mon Nov 27 19:33:36 +0000 2017,1.0,0.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Prince Harry: Princess Diana and Meghan Markle would’ve been “thick as thieves.” https://t.co/w9aEajjlNI,61
61,0.5574,Mon Nov 27 19:32:01 +0000 2017,0.787,0.0,0.213,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Will Cyntoia Brown be paroled? Ace lawyer joins team to free sex-trafficked teen serving life sentence for killing… https://t.co/w9pmaE0vAk,62
62,0.6486,Mon Nov 27 19:29:38 +0000 2017,0.739,0.0,0.261,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Prince Harry: Meghan Markle’s engagement ring includes diamonds from Princess Diana’s collection “to make sure that… https://t.co/vPOFy5Lujd,63
63,0.0,Mon Nov 27 19:24:23 +0000 2017,1.0,0.0,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",Meghan Markle on meeting Queen Elizabeth II: “She’s an incredible woman.” #PrinceHarry https://t.co/ScsSKgXV0Y,64
64,0.4588,Mon Nov 27 19:16:35 +0000 2017,0.8,0.0,0.2,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",Watch: Prince Harry and Meghan Markle discuss their relationship after announcing engagement https://t.co/OVp5eDXZcp,65
65,0.4588,Mon Nov 27 18:58:31 +0000 2017,0.769,0.0,0.231,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",Prince Harry and Meghan Markle Speak to Media After Engagement https://t.co/6HT18fi9GB,66
66,-0.1531,Mon Nov 27 18:48:36 +0000 2017,0.833,0.167,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",.@POTUS Meets with Senators as Tax Vote Looms https://t.co/V3uR0iOgtJ,67
67,0.0,Mon Nov 27 18:48:10 +0000 2017,1.0,0.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Former Conyers staffer Melanie Sloan: ""There needs to be a process by which members of Congress are held accountabl… https://t.co/QD9haXPG2Q",68
68,0.0,Mon Nov 27 18:45:45 +0000 2017,1.0,0.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Former Conyers staffer Melanie Sloan: ""I did in fact speak out at the time... I obviously spoke to my supervisor wh… https://t.co/CzHUk5glho",69
69,0.0,Mon Nov 27 18:43:01 +0000 2017,1.0,0.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Former Conyers staffer Melanie Sloan: ""I was called to go into his office and he was walking around in his underwea… https://t.co/iFxse8TRWb",70
70,-0.4404,Mon Nov 27 18:42:00 +0000 2017,0.805,0.195,0.0,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Advertisers flee YouTube over videos exploiting children, 'disturbing' autofill results (via @christocarbone)… https://t.co/opwl9cPZhe",71
71,0.0,Mon Nov 27 18:41:03 +0000 2017,1.0,0.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Former Conyers staffer Melanie Sloan: ""Over time my relationship with Mr. Conyers deteriorated as he became increas… https://t.co/81TsWaIjrT",72
72,0.4019,Mon Nov 27 18:32:07 +0000 2017,0.87,0.0,0.13,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",".@JessicaTarlov on the @SenFranken press conference: ""I think what Al Franken did right there was definitely for Al… https://t.co/ldZqBIulgQ",73
73,-0.6557,Mon Nov 27 18:29:16 +0000 2017,0.708,0.292,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",".@SenFranken: ""This has been a shock and it's been extremely humbling. I am embarrassed. I feel ashamed."" https://t.co/9PiGOOLMde",74
74,0.0,Mon Nov 27 18:25:49 +0000 2017,1.0,0.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",".@SenFranken: ""I've been trying to take responsibility by apologizing."" https://t.co/6KoUHaIv0g",75
75,-0.5267,Mon Nov 27 18:24:38 +0000 2017,0.841,0.159,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",".@SenFranken: ""There are some women... who feel that I have done something disrespectful and that's hurt them and f… https://t.co/XcGgyA8ELc",76
